main_category,sub_category,avis_du_jour_url,Nombre_avis_du_jour,total_url,Nombre_total_url
Approvisionnement (biens),Aérospatiale,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=1&prov=AccueilToutesCategories,1 avis
Approvisionnement (biens),Alimentation,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=2&prov=AccueilToutesCategories,4 avis
Approvisionnement (biens),Ameublement,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=3&prov=AccueilToutesCategories,18 avis
Approvisionnement (biens),Armement,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=4&prov=AccueilToutesCategories,1 avis
Approvisionnement (biens),"Communication, détection et fibres optiques",,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=5&prov=AccueilToutesCategories,6 avis
Approvisionnement (biens),Constructions préfabriquées,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=6&prov=AccueilToutesCategories,1 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=6&prov=AccueilToutesCategories,3 avis
Approvisionnement (biens),Cosmétiques et articles de toilette,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=7&prov=AccueilToutesCategories,1 avis
Approvisionnement (biens),Énergie,,(Aucun avis),https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=8&prov=AccueilToutesCategories,1 avis
Approvisionnement (biens),Entretien d’équipement de bureau et d’informatique,,(Aucun avis),,(Aucun avis)
Approvisionnement (biens),"Équipement de lutte contre l’incendie, de sécurité et de protection",https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&dtePubFrm=2025-01-19T19:33:41.8577657Z&dtePubTo=2025-01-20T19:33:41.8577659Z&catIds=10&prov=AccueilToutesCategories,1 avis,https://seao.gouv.qc.ca/avis-resultat-recherche?statIds=6&tpIds=2%2C3%2C5%2C6%2C7%2C8%2C10%2C14%2C15%2C17%2C18&catIds=10&prov=AccueilToutesCategories,14 avis
